FILE	ID	X	Y	H	W
50	19928	16.25	3.5	18.83	5.91
50	19931	23.25	2.25	12.62	1.59
50	19936	29	1.25	18.79	5.62
50	19950	39.5	1.25	20.03	3.16
50	19952	41.25	3	18.35	4.29
50	19960	44.75	1.25	17.09	2.67
50	19965	47.5	2.5	17.92	2.7
50	19969	51.5	1.5	19.83	4.89
50	19991	56.75	2.5	21.78	2.49
50	20005	62.25	3.25	20.61	3.25
50	20034	71.5	2.5	23.25	6.12
50	20041	71.25	3.25	22.52	3.1
50	20057	79.5	3	19.77	2.84
50	20069	86.25	3.25	17.92	5.63
50	20095	94.25	2.25	16.36	3.28
50	20106	97.75	3.5	18.02	3.09
50	20114	101	1.5	15.25	3.21
50	20126	104.5	1	12.85	2.87
50	20128	105.25	3.5	15.37	2.16
50	20134	109	3.5	15	3.11
50	20144	110.5	1.5	4.56	1.29
50	20149	113.75	2.75	19.97	3.99
50	20180	126.75	3.25	4.82	2.2
50	20200	138.25	2.25	20.61	3.09
50	20225	153.5	1.25	25.05	5.54
50	20240	158.75	2.75	23.76	4.69
50	20252	163.75	2	24.88	3.95
50	20266	170	1.75	26.33	5.76
50	20284	179.75	3.75	21.27	3.93
50	20291	183	3	26.84	4.7
50	20316	199.75	2.25	26.47	6.44
50	20324	205.25	3	13.54	3.46
50	20333	209	3.5	19.92	3.55
50	20339	213.25	1.75	16.29	3.14
50	20355	219.5	3	13.54	2.93
50	20358	223.25	3.25	20.36	5.23
50	20366	226.25	3.25	12.75	3.63
50	20372	229.25	2.25	6.07	2.7
50	20389	237.25	2.5	16.84	4.12
50	20401	240.75	2.5	12.88	1.66
50	20406	242.25	3.25	18.73	2.79
50	20429	251.25	1.75	16.93	2.77
50	20455	258.5	1.75	11.05	2.03
50	20481	269	3	17.47	3.28
50	20492	271.75	1	13.39	3.01
50	20505	276.25	2	13.64	2.18
50	20519	281	1	20.95	4.46
50	20520	280	3.25	20.14	2.99
50	20536	286	2	21.36	3.89
50	20547	290.5	3.25	17.08	3.32
50	20586	305.5	2.5	9.5	3.82
50	20602	309.5	3.5	9.78	2.72
50	20606	310.75	1	2.62	0.56
50	20612	313.75	2	20.55	4.77
50	20624	317	1.75	15.46	2.8
50	20635	323	3	22.32	4.82
50	20645	326.75	3.75	15.93	2.93
50	20652	331.5	2.25	16.45	2.58
50	20658	334	2.25	15.87	2.72
50	20674	342.75	2	18.75	4.6
50	20756	406.75	2.75	21.73	3.5
50	20767	412	3.25	22.16	3.85
50	20775	415.75	3.5	20.49	2.76
50	20784	420.5	3.75	22.39	2.9
50	20791	424.25	3.25	21.23	3.22
50	20800	428.75	3.25	23	3.06
50	20815	437.25	3.25	23.25	3.73
50	20840	449	2.5	22.4	3.68
50	20874	467.25	3	24.54	5.3
50	20895	479.25	1.75	23.31	5.33
50	20953	2.5	12.25	10.7	2.36
50	20954	1	34	3.35	2.64
50	20955	3	36.5	3.85	3.64
50	20956	1.75	39.75	4.62	4.74
50	20957	2.25	17.75	10.53	1.95
50	20958	1.25	22.5	3.42	0.48
50	20959	2	42	4.82	3.39
50	20960	3.75	14.75	13.07	2.95
50	20961	5.75	38	3.59	3.84
50	20962	5.25	24	3.14	2.12
50	20963	6.75	17.75	12.87	3.14
50	20964	5.75	20.25	8.51	1.22
50	20965	6	11	4.65	0.39
50	20966	7.5	14.25	14.4	2.39
50	20967	8.75	18.5	13.24	5.4
50	20968	7.25	22	10.15	1.43
50	20969	8.75	26.75	7.82	3.15
50	20970	9	42.5	2.99	2.49
50	20971	10.75	12.5	19.45	4.91
50	20972	9.75	40.5	7.23	2.79
50	20973	11.5	8.75	13.73	2.76
50	20974	13	6.25	17.75	1.38
50	20975	13.5	43.75	10.76	1.71
50	20976	14	4	14.85	2.22
50	20977	15.75	9.25	19	5.3
50	20978	17.25	28.25	18.01	4.1
50	20979	21	20.25	18.53	3.5
50	20980	20.5	6.25	13.02	2.76
50	20981	19.75	12	2.76	0.48
50	20982	21.5	25.75	15.18	2.67
50	20983	22.5	36	19.72	4.33
50	20984	22	29.75	16.74	2.99
50	20985	21.75	39.25	16.07	1.54
50	20986	23.5	17	13.32	1.93
50	20987	25	21.5	18.81	6.06
50	20988	24	41	17.33	2.3
50	20989	27.25	27.75	18.83	3.77
50	20990	25.25	34.25	16.38	1.69
50	20991	26.75	11	15.44	3.88
50	20992	26.75	38.25	18.52	2.98
50	20993	26.25	33.75	18.92	3.03
50	20994	27.5	16	17.22	4.1
50	20995	26.25	41.25	18.86	1.95
50	20996	27.5	21.5	14.7	1.69
50	20997	28.75	43.5	19.52	3.96
50	20998	29	35.75	19.59	3.31
50	20999	29.25	33.75	16.14	2.16
50	21000	30.75	25.5	19.3	3.55
50	21001	30.5	11.75	14.25	3.54
50	21002	30	8.25	9.04	2.14
50	21003	31.25	20.5	18.42	4.11
50	21004	31.5	4.75	17.51	2.42
50	21005	31.5	39.25	20.75	4.25
50	21006	32	16	13.53	3.5
50	21007	31	29.75	17.74	1.69
50	21008	31.5	33.5	15.73	1.57
50	21009	32.75	35.75	19.99	3.44
50	21010	33.75	42.5	17.4	3.21
50	21011	34	28.25	18.96	4.2
50	21012	33.5	6	8.68	1.87
50	21013	35.25	13.25	16.94	4.37
50	21014	34	9	11.74	1.97
50	21015	34.75	32.25	20.07	2.76
50	21016	34.75	19	13.31	2.44
50	21017	35	4	16.3	3.01
50	21018	36.75	35	21.36	4.06
50	21019	34.5	38.25	19.61	2.22
50	21020	38.25	40	17.94	3.77
50	21021	35.5	21.5	2.19	0.39
50	21022	37	5.25	13.48	2.34
50	21023	38	7.75	16.69	4.44
50	21024	37.25	38.25	18.18	2.22
50	21025	36.75	16.75	2.57	0.74
50	21026	38.5	30.75	20.12	2.98
50	21027	38.75	26.5	20.1	2.73
50	21028	40	13.75	17.68	4.85
50	21029	39.75	34.25	17.79	2.41
50	21030	41.25	27.75	20.43	3.84
50	21031	40.75	42	17.06	1.91
50	21032	40.75	32.75	17.7	1.73
50	21033	41.25	7.75	10.04	1.8
50	21034	42.5	34.25	19.85	3.51
50	21035	42.75	10.5	9.47	1.95
50	21036	42.5	8.5	10.13	2.25
50	21037	41.5	16.25	10	0.56
50	21038	43.5	41.5	20.02	5.47
50	21039	42.75	38.75	16.23	2.12
50	21040	43.75	5	18.08	3.3
50	21041	44.25	29	18.49	3.72
50	21042	44.25	22.5	18.42	2.42
50	21043	45	24.25	20.27	4.6
50	21044	44.25	35.75	20.68	3.33
50	21045	45.5	15	21.92	5.35
50	21046	48.5	32.25	20.61	5.09
50	21047	45.75	11.5	13.68	1.26
50	21048	46.75	27.75	9.12	1.89
50	21049	48.5	21.25	18.44	3.52
50	21050	49.75	40.75	20.02	4.88
50	21051	51	12.25	22.07	5.73
50	21052	49.25	26	19.5	3.9
50	21053	49.5	17.75	17.91	3.15
50	21054	50.25	8.25	17.87	2.07
50	21055	52	34	22.99	3.09
50	21056	51.5	5.25	13.85	1.91
50	21057	51.75	24.25	18.11	2.89
50	21058	51.25	39	19.12	1.66
50	21059	52	17.25	11.07	1.46
50	21060	53.5	21	21.33	4.53
50	21061	52	35.5	14.76	1.54
50	21062	53	37.25	20.65	3.79
50	21063	54	16.25	18.2	3.8
50	21064	53.25	27.5	18.87	3.22
50	21065	54.5	8.25	20.32	4.57
50	21066	55.75	12.25	21.9	5.35
50	21067	54.5	31	20.34	4.41
50	21068	54.25	4.5	18.56	3.26
50	21069	53.5	12.25	22.32	2.52
50	21070	56.75	34.5	19.03	3.17
50	21071	57	26.25	23.52	4.27
50	21072	59	5	21.06	4.95
50	21073	57.5	19	15.32	1.49
50	21074	57.25	37.5	5.92	1.22
50	21075	58.75	41.75	18.21	2.53
50	21076	58.5	15.25	19.34	3.21
50	21077	60.5	32.75	23.3	5.48
50	21078	58.75	9.75	18.07	2.86
50	21079	59.5	37	22.39	3.78
50	21080	59.75	26.75	23.17	3.44
50	21081	60.5	20.5	20.53	4.72
50	21082	61.25	24.5	20.6	3.83
50	21083	61.75	13.25	16.2	3.5
50	21084	61.25	8.75	10.51	1.95
50	21085	61.5	17.25	17.81	2.44
50	21086	62.75	8.25	15.66	4.11
50	21087	65	31.25	24.79	5.33
50	21088	66.75	34.5	23.71	4.95
50	21089	65	16.75	20.77	4.58
50	21090	64.5	39.5	23.68	6.33
50	21091	64.75	22.5	21.36	2.87
50	21092	66	25.75	22.24	2.66
50	21093	67.25	20.75	23.12	5.1
50	21094	68	13	21.79	5.17
50	21095	67	23.25	23.63	5.06
50	21096	67	43.25	19.71	2.18
50	21097	66.75	8.5	13.67	1.19
50	21098	69	7.25	19.74	4.96
50	21099	67.75	29.25	21.5	3.89
50	21100	69	35	25.37	6.9
50	21101	68	4	19.02	1.76
50	21102	71	17.25	21.5	4.35
50	21103	72.25	28.5	22.18	6.35
50	21104	72	31.75	25.13	3.68
50	21105	72.5	42.5	22.29	5.53
50	21106	71.75	22.25	13.72	2.57
50	21107	72.75	6.25	22.08	2.07
50	21108	72.75	23.25	7.59	1.38
50	21109	74.25	39.25	18.37	3.32
50	21110	74	20.75	5.14	2.32
50	21111	76.5	6	22.86	5.06
50	21112	74.5	16.75	5.94	2.91
50	21113	73.75	24.75	15.01	2.09
50	21114	76	14	12.14	3.87
50	21115	74.5	19.75	5.22	2.91
50	21116	77.25	31.75	23.41	5.69
50	21117	77.75	25.5	20.28	5.95
50	21118	77.75	39	19.22	5.09
50	21119	76.25	10.5	2.75	0.74
50	21120	80.5	16.25	20.68	3.12
50	21121	80.5	29	22.88	4.49
50	21122	80	18.25	22.18	3.79
50	21123	80.25	35.75	24.11	5.25
50	21124	80.5	11	6.08	2.97
50	21125	81.25	43	21.45	3.12
50	21126	80.5	23.25	13.21	2.29
50	21127	83.25	23.5	18.14	3.56
50	21128	84	39	17.14	3.62
50	21129	85.5	42.5	21.83	5.98
50	21130	81.75	43.5	19.33	1.62
50	21131	82.5	19.25	4.08	2.16
50	21132	85.25	32.5	22.99	4.85
50	21133	84.25	13	17.53	2.49
50	21134	85.25	11.25	19.69	4.99
50	21135	86.25	17.75	18.62	4.2
50	21136	86.25	20.75	4.45	2.41
50	21137	87	26.5	14.13	4.29
50	21138	87.75	36.25	25.93	6.99
50	21139	87.25	24	3.3	1.32
50	21140	87.75	6.75	17.23	2.84
50	21141	88	40.5	15.16	1.93
50	21142	92.75	40.75	23.48	7.03
50	21143	89	21.25	2.09	0.28
50	21144	91.75	30.25	16.47	4.27
50	21145	91.5	11	17.78	3.37
50	21146	92	8.75	20.15	4.24
50	21147	91.25	34.25	15.43	2.87
50	21148	91.75	14.5	2.72	0.69
50	21149	94.25	16.25	23.09	5.38
50	21150	95.75	25.5	20.13	4.26
50	21151	96	6.75	13.03	2.49
50	21152	97.25	10.75	20.06	5.67
50	21153	97.5	31.75	18.57	4.92
50	21154	99.75	17.75	19.53	6.69
50	21155	99	7.25	18.44	3.31
50	21156	99.5	22	23.32	3.55
50	21157	99.25	31	16.77	2.03
50	21158	98.75	36	3.28	0.79
50	21159	101.25	28	24.45	5.34
50	21160	101.25	33.75	16.4	3.3
50	21161	101.5	22.75	22.32	3.31
50	21162	101	4	7.04	2.39
50	21163	101.5	40.75	10.62	4.13
50	21164	102	12.25	12.59	3.47
50	21165	103.25	8	14.9	3.96
50	21166	102.5	42.75	4.67	2.25
50	21167	103.5	23	23.9	4.77
50	21168	103.5	16.25	11.38	2.8
50	21169	104.75	11	15.8	2.76
50	21170	104.75	37	14.29	4.18
50	21171	104	41	7.65	1.84
50	21172	105.75	30.75	17.73	3.74
50	21173	105.5	34	19.12	3.9
50	21174	107.5	8	24.03	5.74
